Title,Date
"Breaking Bad: Temporada 1: Pilot",1/3/24
"Breaking Bad: Temporada 1: Cat's in the Bag",1/3/24
"Breaking Bad: Temporada 1: And the Bag's in the River",1/4/24
"Breaking Bad: Temporada 1: Cancer Man",1/4/24
"Breaking Bad: Temporada 1: Gray Matter",1/5/24
"Breaking Bad: Temporada 1: Crazy Handful of Nothin'",1/5/24
"Breaking Bad: Temporada 1: A No-Rough-Stuff-Type Deal",1/6/24
"Breaking Bad: Temporada 2: Seven Thirty-Seven",1/7/24
"Breaking Bad: Temporada 2: Grilled",1/7/24
"Breaking Bad: Temporada 2: Bit by a Dead Bee",1/8/24
"Breaking Bad: Temporada 2: Down",1/8/24
"Breaking Bad: Temporada 2: Breakage",1/9/24
"Breaking Bad: Temporada 2: Peekaboo",1/10/24
"Breaking Bad: Temporada 2: Negro y Azul",1/11/24
"Breaking Bad: Temporada 2: Better Call Saul",1/12/24
"La Casa de Papel: Temporada 1: Episodio 1",2/1/24
"La Casa de Papel: Temporada 1: Episodio 2",2/1/24
"La Casa de Papel: Temporada 1: Episodio 3",2/2/24
"La Casa de Papel: Temporada 1: Episodio 4",2/2/24
"La Casa de Papel: Temporada 1: Episodio 5",2/3/24
"La Casa de Papel: Temporada 1: Episodio 6",2/3/24
"La Casa de Papel: Temporada 1: Episodio 7",2/4/24
"La Casa de Papel: Temporada 1: Episodio 8",2/4/24
"La Casa de Papel: Temporada 1: Episodio 9",2/5/24
"La Casa de Papel: Temporada 2: Episodio 1",2/5/24
"La Casa de Papel: Temporada 2: Episodio 2",2/6/24
"La Casa de Papel: Temporada 2: Episodio 3",2/6/24
"La Casa de Papel: Temporada 2: Episodio 4",2/7/24
"La Casa de Papel: Temporada 2: Episodio 5",2/7/24
"La Casa de Papel: Temporada 2: Episodio 6",2/8/24
"La Casa de Papel: Temporada 2: Episodio 7",2/8/24
"La Casa de Papel: Temporada 2: Episodio 8",2/9/24
"Breaking Bad: Temporada 3: No Más",3/1/24
"Breaking Bad: Temporada 3: Caballo Sin Nombre",3/2/24
"Breaking Bad: Temporada 3: I.F.T.",3/3/24
"Breaking Bad: Temporada 3: Green Light",3/4/24
"Breaking Bad: Temporada 3: Más",3/5/24
"Breaking Bad: Temporada 3: Sunset",3/6/24
"Breaking Bad: Temporada 3: One Minute",3/7/24
"Breaking Bad: Temporada 3: I See You",3/8/24
"Breaking Bad: Temporada 3: Kafkaesque",3/9/24
"Breaking Bad: Temporada 3: Fly",3/10/24
"Breaking Bad: Temporada 3: Abiquiu",3/11/24
"Breaking Bad: Temporada 3: Half Measures",3/15/24
"Breaking Bad: Temporada 3: Full Measure",3/15/24
"Breaking Bad: Temporada 4: Box Cutter",3/15/24
"Breaking Bad: Temporada 4: Thirty-Eight Snub",3/15/24
"Breaking Bad: Temporada 4: Open House",3/15/24
"Breaking Bad: Temporada 4: Bullet Points",3/15/24
"Breaking Bad: Temporada 4: Shotgun",3/15/24
"Breaking Bad: Temporada 4: Cornered",3/15/24
"Breaking Bad: Temporada 4: Problem Dog",3/15/24
"Breaking Bad: Temporada 4: Hermanos",3/15/24
"Breaking Bad: Temporada 4: Bug",3/15/24
"Breaking Bad: Temporada 4: Salud",3/15/24
"Dark: Temporada 1: Geheimnisse",4/5/24
"Dark: Temporada 1: Lügen",4/5/24
"Dark: Temporada 1: Gestern und Heute",4/6/24
"Dark: Temporada 1: Doppelleben",4/6/24
"Dark: Temporada 1: Wahrheiten",4/7/24
"Dark: Temporada 1: Sic Mundus Creatus Est",4/7/24
"Dark: Temporada 1: Kreuzwege",4/8/24
"Dark: Temporada 1: Glückliche Reise",4/9/24
"Dark: Temporada 1: Alles ist jetzt",4/10/24
"Dark: Temporada 1: Alpha und Omega",4/11/24
"Oppenheimer",5/10/24
"Dune: Parte Dos",5/18/24
"El Hoyo",5/24/24
"Stranger Things: Temporada 1: El Mundo al Revés",6/3/24
"Stranger Things: Temporada 1: La Puerta",6/3/24
"Stranger Things: Temporada 1: Holly, Jolly",6/4/24
"Stranger Things: Temporada 1: El Cuerpo",6/4/24
"Stranger Things: Temporada 1: La Pulga y el Acróbata",6/5/24
"Stranger Things: Temporada 1: El Monstruo",6/5/24
"Stranger Things: Temporada 1: La Bañera",6/6/24
"Stranger Things: Temporada 1: El Experimento",6/7/24
"Stranger Things: Temporada 2: MADMAX",7/1/24
"Stranger Things: Temporada 2: El Chico de la Mente Colmena",7/1/24
"Stranger Things: Temporada 2: El Espía",7/2/24
"Stranger Things: Temporada 2: El Hermano de Kali",7/2/24
"Stranger Things: Temporada 2: Los Largos Viajes",7/3/24
"Stranger Things: Temporada 2: El Túnel",7/3/24
"Stranger Things: Temporada 2: La Batalla de Starcourt",7/4/24
"Stranger Things: Temporada 2: El Capítulo Final",7/4/24
"Breaking Bad: Temporada 4: Crawl Space",7/5/24
"Breaking Bad: Temporada 4: End Times",7/5/24
"Breaking Bad: Temporada 4: Face Off",7/6/24
"Breaking Bad: Temporada 5: Live Free or Die",7/6/24
"Breaking Bad: Temporada 5: Madrigal",7/7/24
"Breaking Bad: Temporada 5: Hazard Pay",7/7/24
"Breaking Bad: Temporada 5: Fifty-One",7/8/24
"Breaking Bad: Temporada 5: Dead Freight",7/8/24
"Breaking Bad: Temporada 5: Buyout",7/9/24
"Breaking Bad: Temporada 5: Say My Name",7/9/24
"Breaking Bad: Temporada 5: Gliding Over All",7/10/24
"Breaking Bad: Temporada 5: Blood Money",7/11/24
"Breaking Bad: Temporada 5: Buried",7/11/24
"Breaking Bad: Temporada 5: Confessions",7/12/24
"Breaking Bad: Temporada 5: Rabid Dog",7/12/24
"Breaking Bad: Temporada 5: To'hajiilee",7/13/24
"Breaking Bad: Temporada 5: Ozymandias",7/13/24
"Breaking Bad: Temporada 5: Granite State",7/14/24
"Breaking Bad: Temporada 5: Felina",7/14/24
"Dark: Temporada 2: Beginn und Ende",7/15/24
"Dark: Temporada 2: Bestimmung",7/15/24
"Dark: Temporada 2: Rückläufer",7/16/24
"Dark: Temporada 2: Die Reisenden",7/16/24
"Dark: Temporada 2: Fürchte deinen Nächsten wie dich selbst",7/17/24
"Dark: Temporada 2: An Endless Cycle",7/17/24
"Dark: Temporada 2: The White Devil",7/18/24
"Dark: Temporada 2: Endings and Beginnings",7/18/24
"La Casa de Papel: Temporada 3: Episodio 1",8/2/24
"La Casa de Papel: Temporada 3: Episodio 2",8/2/24
"La Casa de Papel: Temporada 3: Episodio 3",8/3/24
"La Casa de Papel: Temporada 3: Episodio 4",8/3/24
"La Casa de Papel: Temporada 3: Episodio 5",8/4/24
"La Casa de Papel: Temporada 3: Episodio 6",8/4/24
"La Casa de Papel: Temporada 3: Episodio 7",8/5/24
"La Casa de Papel: Temporada 3: Episodio 8",8/5/24
"La Casa de Papel: Temporada 4: Episodio 1",8/10/24
"La Casa de Papel: Temporada 4: Episodio 2",8/10/24
"La Casa de Papel: Temporada 4: Episodio 3",8/11/24
"La Casa de Papel: Temporada 4: Episodio 4",8/11/24
"La Casa de Papel: Temporada 4: Episodio 5",8/12/24
"La Casa de Papel: Temporada 4: Episodio 6",8/12/24
"La Casa de Papel: Temporada 4: Episodio 7",8/13/24
"La Casa de Papel: Temporada 4: Episodio 8",8/14/24
"Peaky Blinders: Temporada 1: Episode 1",9/5/24
"Peaky Blinders: Temporada 1: Episode 2",9/5/24
"Peaky Blinders: Temporada 1: Episode 3",9/6/24
"Peaky Blinders: Temporada 1: Episode 4",9/6/24
"Peaky Blinders: Temporada 1: Episode 5",9/7/24
"Peaky Blinders: Temporada 1: Episode 6",9/7/24
"Peaky Blinders: Temporada 2: Episode 1",9/14/24
"Peaky Blinders: Temporada 2: Episode 2",9/14/24
"Peaky Blinders: Temporada 2: Episode 3",9/15/24
"Peaky Blinders: Temporada 2: Episode 4",9/15/24
"Peaky Blinders: Temporada 2: Episode 5",9/16/24
"Peaky Blinders: Temporada 2: Episode 6",9/16/24
"The Crown: Temporada 1: Wolferton Splash",10/4/24
"The Crown: Temporada 1: Hyde Park Corner",10/4/24
"The Crown: Temporada 1: Windsor",10/5/24
"The Crown: Temporada 1: Act of God",10/5/24
"The Crown: Temporada 1: Smoke and Mirrors",10/6/24
"The Crown: Temporada 1: Gelignite",10/6/24
"The Crown: Temporada 1: Scientia Potentia Est",10/12/24
"The Crown: Temporada 1: Pride and Joy",10/13/24
"The Crown: Temporada 2: Misadventure",10/19/24
"The Crown: Temporada 2: A Company of Men",10/19/24
"The Crown: Temporada 2: Lisbon",10/20/24
"El Laberinto del Fauno",11/2/24
"Roma",11/8/24
"Marriage Story",11/15/24
"The Irishman",11/22/24
"Squid Game: Temporada 1: Red Light Green Light",12/1/24
"Squid Game: Temporada 1: Hell",12/1/24
"Squid Game: Temporada 1: The Man with the Umbrella",12/1/24
"Squid Game: Temporada 1: Stick to the Team",12/2/24
"Squid Game: Temporada 1: A Fair World",12/2/24
"Squid Game: Temporada 1: Gganbu",12/2/24
"Squid Game: Temporada 1: VIPS",12/3/24
"Squid Game: Temporada 1: Front Man",12/3/24
"Squid Game: Temporada 1: One Lucky Day",12/3/24
"Squid Game: Temporada 2: Episode 1",12/28/24
"Squid Game: Temporada 2: Episode 2",12/28/24
"Squid Game: Temporada 2: Episode 3",12/29/24
"Squid Game: Temporada 2: Episode 4",12/29/24
"Squid Game: Temporada 2: Episode 5",12/30/24
"Squid Game: Temporada 2: Episode 6",12/30/24
"Squid Game: Temporada 2: Episode 7",12/31/24
